Hospital name,Angels Awards name
"Nemocnica Poprad, a. s., všeobecná nemocnica",NEMOCNICA POPRAD
"Nemocnica s poliklinikou Trebišov, a.s., všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU TREBIŠOV - SVET ZDRAVIA
"NsP Sv. Jakuba, n.o., Bardejov, všeobecná nemocnica","NEMOCNICA S POLIKLINIKOU SV. JAKUBA, BARDEJOV "
"Nemocnica na okraji mesta, n.o., všeobecná nemocnica, Partizánske","NEMOCNICA NA OKRAJI MESTA, PARTIZÁNSKE -SVET ZDRAVIA "
"Nemocnica s poliklinikou sv. Barbory Rožòava, a.s., všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU SV.BARBORY ROŽÒAVA - SVET ZDRAVIA
"Univerzitná nemocnica L.Pasteura Košice- SNP, všeobecná nemocnica",UNIVERZITNÁ NEMOCNICA L.PASTEURA KOŠICE
"Nemocnica s poliklinikou Prievidza, všeobecná nemocnica, Bojnice",NEMOCNICA S POLIKLINIKOU PRIEVIDZA SO SÍDLOM V BOJNICIACH
"Fakultná nemocnica Trnava, všeobecná nemocnica",FAKULTNÁ NEMOCNICA TRNAVA
"Nemocnica Košice - Šaca a.s. 1. súkromná nemocnica, všeobecná nemocnica",NEMOCNICA AGEL KOŠICE - ŠACA
"Fakultná nemocnica s poliklinikou Skalica, a.s., všeobecná nemocnica",FAKULTNÁ NEMOCNICA S POLIKLINIKOU SKALICA
"Vranovská nemocnica, a.s., všeobecná nemocnica, Vranov nad Top¾ou",VRANOVSKÁ NEMOCNICA
"Ústredná vojenská nemocnica SNP Ružomberok - fakultná nemocnica, všeobecná nemocnica, Ružomberok, ul. Gen. Miloša Vesela",ÚSTREDNÁ VOJENSKÁ NEMOCNICA SNP RUŽOMBEROK - FAKULTNÁ NEMOCNICA
"Dolnooravská nemocnica s poliklinikou MUDr. L. Nádaši Jégého Dolný Kubín, všeobecná nemocnica",DOLNOORAVSKÁ NEMOCNICA S POLIKLINIKOU MUDR. L. NÁDAŠI JÉGÉHO DOLNÝ KUBÍN
"Liptovská nemocnica s poliklinikou MUDr. Ivana Stodolu  Liptovský Mikuláš, všeobecná nemocnica",LIPTOVSKÁ NEMOCNICA S POLIKLINIKOU MUDR. IVANA STODOLU  LIPTOVSKÝ MIKULÁŠ
"Nemocnica Komárno s. r. o., všeobecná nemocnica",NEMOCNICA AGEL KOMÁRNO 
"Fakultná nemocnica Nitra, všeobecná nemocnica",FAKULTNÁ NEMOCNICA NITRA
"Nemocnica arm. generála L. Svobodu Svidník, a.s., všeobecná nemocnica",NEMOCNICA ARM. GENERÁLA L. SVOBODU SVIDNÍK - SVET ZDRAVIA 
"Fakultná nemocnica Trenèín, všeobecná nemocnica",FAKULTNÁ NEMOCNICA TRENÈÍN
"Nemocnica s poliklinikou Dunajská Streda, a.s., všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU DUNAJSKÁ STREDA - SVET ZDRAVIA
Univerzitná nemocnica Bratislava - všeobecná nemocnica akad. L. Dérera,UNIVERZITNÁ NEMOCNICA BRATISLAVA - NEMOCNICA AKADEMIKA L. DÉRERA
"Nemocnica s poliklinikou Považská Bystrica so sídlom v Považskej Bystrici, všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU POVAŽSKÁ BYSTRICA
"Všeobecná nemocnica s poliklinikou Levoèa, a.s., všeobecná nemocnica",VŠEOBECNÁ NEMOCNICA S POLIKLINIKOU LEVOÈA 
"Všeobecná nemocnica s poliklinikou, n.o., všeobecná nemocnica, Ve¾ký Krtíš","Všeobecná nemocnica s poliklinikou, n.o., všeobecná nemocnica, Ve¾ký Krtíš"
Univerzitná nemocnica Bratislava - všeobecná nemocnica Staré Mesto,UNIVERZITNÁ NEMOCNICA BRATISLAVA -  NEMOCNICA STARÉ MESTO
"Nemocnica s poliklinikou Brezno, n.o., všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU BREZNO
Univerzitná nemocnica Bratislava - všeobecná nemocnica sv. Cyrila a Metoda,UNIVERZITNÁ NEMOCNICA BRATISLAVA - NEMOCNICA SV.CYRILA A METODA
"Fakultná nemocnica s poliklinikou Nové Zámky, všeobecná nemocnica",FAKULTNÁ NEMOCNICA S POLIKLINIKOU NOVÉ ZÁMKY
"Nemocnica s poliklinikou Spišská Nová Ves, a.s., všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU SPIŠSKÁ NOVÁ VES - SVET ZDRAVIA 
"Nemocnica s poliklinikou Prievidza so sídlom v Bojniciach, všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU PRIEVIDZA SO SÍDLOM V BOJNICIACH
"Nemocnica s poliklinikou Sv. Lukáša Galanta, a.s., všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU SV. LUKÁŠA GALANTA - SVET ZDRAVIA
"Ústredná vojenská nemocnica SNP Ružomberok - fakultná nemocnica, všeobecná nemocnica, Ružomberok, ul. Považská",ÚSTREDNÁ VOJENSKÁ NEMOCNICA SNP RUŽOMBEROK - FAKULTNÁ NEMOCNICA
"Svet zdravia, a.s., všeobecná nemocnica, Žiar nad Hronom",NEMOCNICA ŽIAR NAD HRONOM - SVET ZDRAVIA 
"Fakultná nemocnica s poliklinikou Žilina, všeobecná nemocnica",FAKULTNÁ NEMOCNICA S POLIKLINIKOU ŽILINA
"Univerzitná nemocnica Martin, všeobecná nemocnica",UNIVERZITNÁ NEMOCNICA MARTIN
"Všeobecná nemocnica s poliklinikou Luèenec n.o., všeobecná nemocnica",VŠEOBECNÁ NEMOCNICA S POLIKLINIKOU LUÈENEC 
"Kysucká nemocnica s poliklinikou Èadca, všeobecná nemocnica",KYSUCKÁ NEMOCNICA S POLIKLINIKOU ÈADCA
Univerzitná nemocnica Bratislava - všeobecná nemocnica Ružinov,UNIVERZITNÁ NEMOCNICA BRATISLAVA - NEMOCNICA RUŽINOV
"Svet zdravia, a.s., všeobecná nemocnica, Rimavská Sobota",VŠEOBECNÁ NEMOCNICA RIMAVSKÁ SOBOTA - SVET ZDRAVIA 
"Nemocnica A. Leòa Humenné, a.s., všeobecná nemocnica",NEMOCNICA A. LEÒA HUMENNÉ
"Nemocnica Zvolen a. s.,  všeobecná nemocnica, Zvolen",NEMOCNICA AGEL ZVOLEN 
"Fakultná nemocnica Trnava, so sídlom Andreja Žarnova 11, všeobecná nemocnica",FAKULTNÁ NEMOCNICA TRNAVA
"¼ubovnianska nemocnica, n. o., všeobecná nemocnica, Stará ¼ubovòa",¼UBOVNIANSKA NEMOCNICA 
"Nemocnica s poliklinikou Štefana Kukuru Michalovce, a.s., všeobecná nemocnica",NEMOCNICA S POLIKLINIKOU ŠTEFANA KUKURU MICHALOVCE - SVET ZDRAVIA 
"Fakultná nemocnica s poliklinikou F.D.Roosevelta Banská Bystrica, všeobecná nemocnica",FAKULTNÁ NEMOCNICA S POLIKLINIKOU F.D.ROOSEVELTA BANSKÁ BYSTRICA
"Svet zdravia Nemocnica Topo¾èany, a.s., všeobecná nemocnica",SVET ZDRAVIA NEMOCNICA TOPO¼ÈANY
"Fakultná nemocnica s poliklinikou J. A. Reimana Prešov, všeobecná nemocnica",FAKULTNÁ NEMOCNICA S POLIKLINIKOU J. A. REIMANA PREŠOV
"Nemocnica Levice s. r. o., všeobecná nemocnica",NEMOCNICA AGEL LEVICE
